[2022-07-17T10:08:27.010Z INFO  mempool::batch_maker] Batch exZWCY06WcJkytyxkLxEoomePpwAKEzVnDDNvuCZVm8= contains sample tx 14
[2022-07-17T10:08:27.010Z INFO  mempool::batch_maker] Batch exZWCY06WcJkytyxkLxEoomePpwAKEzVnDDNvuCZVm8= contains 6144 B
[2022-07-17T10:08:27.067Z INFO  mempool::batch_maker] Batch mX0gm4CZLIam+zL/UTwyUC2RsQx89uuXkPV9bzLMV+U= contains sample tx 15
[2022-07-17T10:08:27.067Z INFO  mempool::batch_maker] Batch mX0gm4CZLIam+zL/UTwyUC2RsQx89uuXkPV9bzLMV+U= contains 6144 B
[2022-07-17T10:08:27.113Z INFO  mempool::batch_maker] Batch mIHXZirbfdSiIZxdk1aj6HaveMh6AnShwDTC7YiCgZA= contains sample tx 16
[2022-07-17T10:08:27.114Z INFO  mempool::batch_maker] Batch mIHXZirbfdSiIZxdk1aj6HaveMh6AnShwDTC7YiCgZA= contains 6144 B
[2022-07-17T10:08:27.138Z WARN  network::reliable_sender] Failed to connect to 127.0.0.1:9004 (retry 3): Connection refused (os error 111)
[2022-07-17T10:08:27.160Z INFO  mempool::batch_maker] Batch O3jT4UCmq3NnmduyRV6uY4PmMvn3mmoetrvMjNqIQkM= contains sample tx 17
[2022-07-17T10:08:27.160Z INFO  mempool::batch_maker] Batch O3jT4UCmq3NnmduyRV6uY4PmMvn3mmoetrvMjNqIQkM= contains 6144 B
[2022-07-17T10:08:27.219Z INFO  mempool::batch_maker] Batch PaFskOjf6bEcFUYxlNaq3pArzxT2iJA+Zmte3V70hQ4= contains sample tx 18
[2022-07-17T10:08:27.219Z INFO  mempool::batch_maker] Batch PaFskOjf6bEcFUYxlNaq3pArzxT2iJA+Zmte3V70hQ4= contains 6144 B
[2022-07-17T10:08:27.265Z INFO  mempool::batch_maker] Batch d2AFEZ0LmXMmrDjXm3uztctFD+TMT9fUOHEA4hnjjN8= contains sample tx 19
[2022-07-17T10:08:27.265Z INFO  mempool::batch_maker] Batch d2AFEZ0LmXMmrDjXm3uztctFD+TMT9fUOHEA4hnjjN8= contains 6144 B
[2022-07-17T10:08:27.311Z INFO  mempool::batch_maker] Batch pwtCZDngsu4vXV/tUbiIHY50YxxAFwCQG04wnQJ746g= contains sample tx 20
[2022-07-17T10:08:27.311Z INFO  mempool::batch_maker] Batch pwtCZDngsu4vXV/tUbiIHY50YxxAFwCQG04wnQJ746g= contains 6144 B
[2022-07-17T10:08:27.357Z INFO  mempool::batch_maker] Batch yWmOAgWfb43bK/zhappHYLgj9m2tPl9sD+GF24tg/Qs= contains sample tx 21
[2022-07-17T10:08:27.357Z INFO  mempool::batch_maker] Batch yWmOAgWfb43bK/zhappHYLgj9m2tPl9sD+GF24tg/Qs= contains 6144 B
[2022-07-17T10:08:27.414Z INFO  mempool::batch_maker] Batch E4b6uCy0pUm3iCq1t0ddIFAxi5DdL5scnJ82MFVbTWQ= contains sample tx 22
[2022-07-17T10:08:27.414Z INFO  mempool::batch_maker] Batch E4b6uCy0pUm3iCq1t0ddIFAxi5DdL5scnJ82MFVbTWQ= contains 6144 B
[2022-07-17T10:08:27.461Z INFO  mempool::batch_maker] Batch XJjBIP0nx43PyWM0DgcnmUfxDUAjtwurDiP/+V1tllM= contains 1024 B
[2022-07-17T10:08:27.715Z WARN  network::reliable_sender] Failed to connect to 127.0.0.1:9014 (retry 3): Connection refused (os error 111)
[2022-07-17T10:08:27.735Z WARN  consensus::core] Timeout reached for round 3
[2022-07-17T10:08:27.739Z WARN  network::simple_sender] Failed to connect to 127.0.0.1:9004 (retry 0): Connection refused (os error 111)
[2022-07-17T10:08:27.745Z WARN  network::simple_sender] Failed to connect to 127.0.0.1:9004 (retry 0): Connection refused (os error 111)
[2022-07-17T10:08:27.751Z INFO  network::receiver] Incoming connection established with 127.0.0.1:56133
[2022-07-17T10:08:27.751Z INFO  consensus::core] I'm handler fbryT5XLwtmgJwrG handling for block B4 with round number 4 with QC 0 from leader 2hvyousEC4j0wSPY
[2022-07-17T10:08:27.753Z INFO  consensus::core] I'm processor fbryT5XLwtmgJwrG processing for block B4 with round number 4 with QC 0 from leader 2hvyousEC4j0wSPY
[2022-07-17T10:08:27.753Z INFO  consensus::core] I'm voter fbryT5XLwtmgJwrG voting for block B4 with round number 4 with QC 0 from leader 2hvyousEC4j0wSPY
[2022-07-17T10:08:27.753Z INFO  consensus::core] I'm handler fbryT5XLwtmgJwrG handling for block B4 with round number 4 with QC 0 from leader 2hvyousEC4j0wSPY
[2022-07-17T10:08:27.754Z INFO  consensus::core] I'm processor fbryT5XLwtmgJwrG processing for block B4 with round number 4 with QC 0 from leader 2hvyousEC4j0wSPY
[2022-07-17T10:08:27.754Z INFO  consensus::core] I'm voter fbryT5XLwtmgJwrG voting for block B4 with round number 4 with QC 0 from leader 2hvyousEC4j0wSPY
[2022-07-17T10:08:27.756Z INFO  consensus::core] I'm handler fbryT5XLwtmgJwrG handling for block B4 with round number 4 with QC 0 from leader 2hvyousEC4j0wSPY
[2022-07-17T10:08:27.757Z INFO  network::receiver] Incoming connection established with 127.0.0.1:56137
