[2022-07-23T17:56:51.335Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9027
[2022-07-23T17:56:51.335Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9023
[2022-07-23T17:56:51.336Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9024
[2022-07-23T17:56:51.336Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9026
[2022-07-23T17:56:51.337Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9022
[2022-07-23T17:56:51.337Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9028
[2022-07-23T17:56:51.338Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9025
[2022-07-23T17:56:51.335Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9020
[2022-07-23T17:56:51.378Z INFO  mempool::batch_maker] Batch 9pyHIhhcAE0M+BbfHsLvBUsdeFqqiuQgu9lOWz+IRcc= contains sample tx 1
[2022-07-23T17:56:51.378Z INFO  mempool::batch_maker] Batch 9pyHIhhcAE0M+BbfHsLvBUsdeFqqiuQgu9lOWz+IRcc= contains 2560 B
[2022-07-23T17:56:51.380Z WARN  network::reliable_sender] Failed to connect to 127.0.0.1:9009 (retry 3): Connection refused (os error 111)
[2022-07-23T17:56:51.381Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9008
[2022-07-23T17:56:51.386Z INFO  network::receiver] Incoming connection established with 127.0.0.1:59694
[2022-07-23T17:56:51.436Z INFO  network::receiver] Incoming connection established with 127.0.0.1:59705
[2022-07-23T17:56:51.437Z INFO  mempool::batch_maker] Batch +vf7RYLBHhBjvHZHZLflgLw2gTFdZNmaiWq26AWhC4Y= contains sample tx 2
[2022-07-23T17:56:51.437Z INFO  mempool::batch_maker] Batch +vf7RYLBHhBjvHZHZLflgLw2gTFdZNmaiWq26AWhC4Y= contains 2560 B
[2022-07-23T17:56:51.484Z INFO  mempool::batch_maker] Batch i9kmAXEhuq1RoIie+vyJi+r2kQg/aKsiOQZid3X3ah8= contains sample tx 3
[2022-07-23T17:56:51.484Z INFO  mempool::batch_maker] Batch i9kmAXEhuq1RoIie+vyJi+r2kQg/aKsiOQZid3X3ah8= contains 2560 B
