[2022-07-17T11:51:48.844Z INFO  mempool::batch_maker] Batch 88F32AzqRUSgaSXG0Fi7JmiQA7TlxlzwjykGYp1kCGY= contains 2560 B
[2022-07-17T11:51:48.888Z INFO  mempool::batch_maker] Batch ANPUceTgvrnQF4Emn15RUtC6M3GVrPxgNMSm8DMrdKE= contains sample tx 18
[2022-07-17T11:51:48.888Z INFO  mempool::batch_maker] Batch ANPUceTgvrnQF4Emn15RUtC6M3GVrPxgNMSm8DMrdKE= contains 2560 B
[2022-07-17T11:51:48.946Z INFO  mempool::batch_maker] Batch BYhYfguV1HNi2OciPgiPTeE0ut9K3QwjYPbPlCKN3j4= contains sample tx 19
[2022-07-17T11:51:48.946Z INFO  mempool::batch_maker] Batch BYhYfguV1HNi2OciPgiPTeE0ut9K3QwjYPbPlCKN3j4= contains 2560 B
[2022-07-17T11:51:48.992Z INFO  mempool::batch_maker] Batch +DmrV405CyGCgnEOZt0GzaaAY5gNxWzxTf7KgoLZLCk= contains sample tx 20
[2022-07-17T11:51:48.992Z INFO  mempool::batch_maker] Batch +DmrV405CyGCgnEOZt0GzaaAY5gNxWzxTf7KgoLZLCk= contains 2560 B
[2022-07-17T11:51:49.049Z INFO  mempool::batch_maker] Batch W/gSJQEvZ9mJXRM6KRAjaJQn2P/g0gZpq1u6ZjONAzg= contains sample tx 21
[2022-07-17T11:51:49.049Z INFO  mempool::batch_maker] Batch W/gSJQEvZ9mJXRM6KRAjaJQn2P/g0gZpq1u6ZjONAzg= contains 2560 B
[2022-07-17T11:51:49.094Z WARN  consensus::core] Timeout reached for round 3
[2022-07-17T11:51:49.096Z WARN  network::simple_sender] Failed to connect to 127.0.0.1:9009 (retry 0): Connection refused (os error 111)
[2022-07-17T11:51:49.101Z INFO  network::receiver] Incoming connection established with 127.0.0.1:61403
[2022-07-17T11:51:49.101Z INFO  consensus::core] I'm handler 52RzH6wxVVYx5uji handling for block B4 with round number 4 with QC 1 from leader X6FuimK494yiIFCE
[2022-07-17T11:51:49.104Z INFO  consensus::core] I'm processor 52RzH6wxVVYx5uji processing for block B4 with round number 4 with QC 1 from leader X6FuimK494yiIFCE
[2022-07-17T11:51:49.104Z INFO  consensus::core] I'm voter 52RzH6wxVVYx5uji voting for block B4 with round number 4 with QC 1 from leader X6FuimK494yiIFCE
[2022-07-17T11:51:49.104Z INFO  consensus::core] I'm handler 52RzH6wxVVYx5uji handling for block B4 with round number 4 with QC 1 from leader X6FuimK494yiIFCE
[2022-07-17T11:51:49.106Z INFO  consensus::core] I'm processor 52RzH6wxVVYx5uji processing for block B4 with round number 4 with QC 1 from leader X6FuimK494yiIFCE
[2022-07-17T11:51:49.106Z INFO  consensus::core] I'm voter 52RzH6wxVVYx5uji voting for block B4 with round number 4 with QC 1 from leader X6FuimK494yiIFCE
[2022-07-17T11:51:49.106Z INFO  consensus::core] I'm handler 52RzH6wxVVYx5uji handling for block B4 with round number 4 with QC 1 from leader X6FuimK494yiIFCE
[2022-07-17T11:51:49.108Z INFO  consensus::core] I'm processor 52RzH6wxVVYx5uji processing for block B4 with round number 4 with QC 1 from leader X6FuimK494yiIFCE
